step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/09/2023 - 09:31:39,4.0,5.0,467,543,500,365,3.6,4.15,5.61,3.41,1,0,0,0
prolog,05/09/2023 - 09:31:40,2.0,4.0,483,314,349,468,5.14,4.04,3.69,5.48,1,0,1,1
prolog,05/09/2023 - 09:31:41,2.0,6.0,315,318,507,559,5.51,5.91,3.83,3.88,0,1,0,0
prolog,05/09/2023 - 09:31:42,3.0,4.0,431,329,355,538,3.22,5.27,5.84,3.49,0,1,1,0
heatingup,05/09/2023 - 09:31:43,2.0,5.0,577,600,585,353,3.81,5.74,4.74,4.42,0,1,1,1
heatingup,05/09/2023 - 09:31:44,5.0,6.0,515,539,417,571,3.23,3.84,5.18,5.42,1,0,1,0
heatingup,05/09/2023 - 09:31:45,4.0,6.0,530,488,392,374,3.03,3.94,4.86,3.5,1,0,1,1
heatingup,05/09/2023 - 09:31:46,1.0,4.0,491,310,587,528,3.56,3.68,5.68,4.96,1,1,1,0
measuring,05/09/2023 - 09:31:47,4.0,4.0,539,587,427,476,4.3,3.29,3.68,5.07,1,0,1,1
measuring,05/09/2023 - 09:31:48,5.0,6.0,406,343,537,486,4.44,4.09,4.22,5.25,0,0,1,0
measuring,05/09/2023 - 09:31:49,1.0,6.0,569,440,485,324,3.91,5.99,3.73,3.37,1,1,0,0
measuring,05/09/2023 - 09:31:50,5.0,5.0,440,509,495,589,5.26,5.43,5.07,3.26,0,0,0,0
measuring,05/09/2023 - 09:31:51,2.0,6.0,475,590,434,452,4.53,3.82,3.67,3.82,1,0,0,0
cooldown,05/09/2023 - 09:31:52,3.0,3.0,437,543,552,314,3.31,5.53,3.73,5.21,0,0,0,1
cooldown,05/09/2023 - 09:31:53,1.0,5.0,540,367,361,492,4.3,5.59,5.54,3.97,1,0,0,0
cooldown,05/09/2023 - 09:31:54,1.0,3.0,483,314,575,592,4.18,5.53,4.71,3.68,0,0,0,0
cooldown,05/09/2023 - 09:31:55,5.0,4.0,392,560,441,489,3.93,4.45,5.57,4.84,1,0,0,0
cooldown,05/09/2023 - 09:31:56,3.0,5.0,413,304,303,510,3.16,5.63,4.46,4.19,1,1,1,0
cooldown,05/09/2023 - 09:31:57,1.0,3.0,408,480,498,536,4.26,3.92,5.15,3.65,1,0,0,1
