step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/08/2023 - 10:05:01,2.0,6.0,397,479,467,575,5.33,4.04,5.14,5.39,0,1,1,1
prolog,05/08/2023 - 10:05:02,5.0,4.0,464,474,320,476,3.48,3.41,4.63,3.32,1,0,1,1
prolog,05/08/2023 - 10:05:03,2.0,6.0,472,340,484,469,3.22,4.55,4.09,3.27,1,1,0,0
prolog,05/08/2023 - 10:05:04,5.0,5.0,598,324,418,435,3.58,3.95,5.69,4.28,0,1,1,0
heatingup,05/08/2023 - 10:05:05,3.0,4.0,509,516,538,478,4.07,3.23,5.76,4.36,0,0,0,0
heatingup,05/08/2023 - 10:05:06,1.0,3.0,316,358,535,317,4.22,4.23,4.67,3.11,1,0,1,1
heatingup,05/08/2023 - 10:05:07,1.0,4.0,415,382,348,508,4.98,5.09,3.53,5.34,1,1,1,1
heatingup,05/08/2023 - 10:05:08,5.0,4.0,307,564,528,455,3.51,4.82,4.09,5.81,1,0,1,0
measuring,05/08/2023 - 10:05:09,5.0,3.0,430,490,305,501,4.91,5.37,4.52,5.25,1,0,0,1
measuring,05/08/2023 - 10:05:10,4.0,5.0,559,309,521,433,5.7,4.75,3.26,5.14,1,0,0,0
measuring,05/08/2023 - 10:05:11,3.0,4.0,558,331,328,576,4.3,4.16,4.55,3.77,0,0,1,1
measuring,05/08/2023 - 10:05:12,4.0,6.0,336,532,362,363,5.2,3.85,4.63,4.22,1,0,0,1
measuring,05/08/2023 - 10:05:13,1.0,5.0,492,589,502,528,3.83,4.99,3.4,4.67,1,1,1,1
cooldown,05/08/2023 - 10:05:14,3.0,6.0,402,347,390,367,5.35,3.58,4.51,5.2,1,1,0,1
cooldown,05/08/2023 - 10:05:15,2.0,4.0,561,441,483,401,3.98,5.75,5.98,5.97,0,1,0,1
cooldown,05/08/2023 - 10:05:16,3.0,4.0,392,421,580,465,3.64,4.5,4.65,3.33,0,0,0,1
cooldown,05/08/2023 - 10:05:17,3.0,4.0,309,480,563,558,3.76,4.37,4.04,4.44,1,0,1,1
cooldown,05/08/2023 - 10:05:18,3.0,5.0,518,483,316,340,4.23,5.77,3.02,4.26,0,1,0,1
cooldown,05/08/2023 - 10:05:19,1.0,5.0,587,541,559,464,4.83,3.71,4.29,5.94,0,1,1,0
