step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/09/2023 - 11:56:35,2.0,4.0,416,483,510,596,4.43,3.19,3.8,3.89,0,0,1,0
prolog,05/09/2023 - 11:56:36,4.0,3.0,346,510,569,421,3.79,3.59,4.13,5.03,1,1,1,1
heatingup,05/09/2023 - 11:56:37,1.0,6.0,530,370,385,554,4.4,5.42,4.67,5.77,0,0,1,1
heatingup,05/09/2023 - 11:56:38,4.0,3.0,458,458,326,598,4.78,4.66,3.09,4.3,0,1,0,1
heatingup,05/09/2023 - 11:56:40,3.0,4.0,593,530,389,484,3.02,5.8,5.81,4.47,1,0,1,0
measuring,05/09/2023 - 11:56:41,5.0,5.0,438,421,388,320,4.89,5.93,5.8,4.46,0,1,0,1
measuring,05/09/2023 - 11:56:42,4.0,6.0,423,397,438,467,5.02,3.75,5.4,5.79,1,1,1,1
measuring,05/09/2023 - 11:56:43,5.0,5.0,418,487,443,408,3.95,4.52,3.41,5.32,1,0,0,1
measuring,05/09/2023 - 11:56:44,4.0,4.0,458,458,542,386,4.5,5.75,4.92,4.7,1,0,0,1
measuring,05/09/2023 - 11:56:45,2.0,6.0,420,579,551,331,5.57,4.82,4.89,4.79,0,0,1,0
cooldown,05/09/2023 - 11:56:46,4.0,4.0,557,310,402,327,5.35,5.28,5.18,5.16,0,1,1,1
cooldown,05/09/2023 - 11:56:47,3.0,6.0,553,596,469,449,5.78,4.6,4.95,4.81,0,0,0,1
cooldown,05/09/2023 - 11:56:48,4.0,5.0,555,339,559,383,3.96,3.05,5.49,3.52,1,1,1,1
cooldown,05/09/2023 - 11:56:49,5.0,3.0,481,514,459,359,4.51,4.01,3.97,4.52,0,0,0,1
cooldown,05/09/2023 - 11:56:50,3.0,3.0,437,498,589,534,5.0,4.74,3.66,5.58,1,1,1,1
cooldown,05/09/2023 - 11:56:51,1.0,3.0,424,438,531,573,3.96,3.95,5.58,4.7,1,1,0,0
cooldown,05/09/2023 - 11:56:52,2.0,4.0,524,481,311,484,4.32,3.24,4.34,4.21,0,1,1,1
cooldown,05/09/2023 - 11:56:53,1.0,5.0,368,492,382,422,5.4,3.1,3.43,4.15,1,1,0,0
cooldown,05/09/2023 - 11:56:54,4.0,3.0,477,579,598,422,5.67,5.12,3.3,3.52,0,1,0,1
cooldown,05/09/2023 - 11:56:55,4.0,4.0,392,432,583,477,3.36,5.25,3.29,5.07,0,1,1,0
