step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/04/2023 - 14:58:35,4.0,3.0,350,380,307,453,5.39,5.0,4.5,4.98,0,0,0,1
prolog,05/04/2023 - 14:58:36,2.0,5.0,437,433,445,382,4.23,3.23,4.92,4.93,0,1,0,0
prolog,05/04/2023 - 14:58:37,2.0,5.0,483,487,573,558,5.31,3.59,3.89,3.37,0,1,0,0
prolog,05/04/2023 - 14:58:38,4.0,5.0,455,576,400,380,5.85,4.44,3.74,5.53,1,1,1,0
heatingup,05/04/2023 - 14:58:39,5.0,3.0,569,478,493,385,5.87,3.15,3.61,3.74,1,0,1,0
heatingup,05/04/2023 - 14:58:40,1.0,5.0,300,369,593,430,4.63,4.21,4.89,4.91,1,1,0,1
heatingup,05/04/2023 - 14:58:41,4.0,5.0,561,435,579,478,3.71,3.19,4.69,5.8,1,1,0,1
heatingup,05/04/2023 - 14:58:42,4.0,5.0,501,367,473,358,5.34,3.27,3.47,5.01,0,0,1,1
measuring,05/04/2023 - 14:58:43,2.0,3.0,330,395,440,594,5.75,4.39,5.3,4.04,0,0,1,1
measuring,05/04/2023 - 14:58:44,3.0,6.0,477,387,418,594,3.41,5.3,5.63,5.61,0,1,0,1
measuring,05/04/2023 - 14:58:45,3.0,3.0,526,485,528,376,5.0,4.67,4.67,5.08,0,0,1,0
measuring,05/04/2023 - 14:58:46,5.0,4.0,559,414,442,600,4.14,5.95,3.94,4.81,0,1,1,1
measuring,05/04/2023 - 14:58:47,4.0,5.0,499,592,552,537,5.67,3.49,3.29,3.11,1,0,0,1
cooldown,05/04/2023 - 14:58:48,3.0,4.0,538,479,520,336,4.28,3.87,4.15,5.61,1,1,1,1
cooldown,05/04/2023 - 14:58:49,4.0,3.0,300,469,517,583,4.67,4.72,5.53,5.64,1,0,0,1
cooldown,05/04/2023 - 14:58:50,3.0,5.0,587,376,353,386,3.66,3.96,5.5,4.92,0,0,0,1
cooldown,05/04/2023 - 14:58:51,4.0,5.0,550,342,367,365,5.11,5.35,4.24,3.32,0,0,0,0
cooldown,05/04/2023 - 14:58:52,5.0,6.0,351,427,349,506,3.42,3.87,5.4,3.18,0,1,0,1
cooldown,05/04/2023 - 14:58:53,4.0,5.0,443,438,483,425,5.27,5.19,5.65,6.0,0,0,0,1
