step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/08/2023 - 10:23:53,1.0,5.0,540,444,546,470,3.49,4.72,5.1,5.61,0,0,1,0
prolog,05/08/2023 - 10:23:54,5.0,6.0,588,380,483,525,5.03,4.96,3.55,5.12,0,0,0,1
prolog,05/08/2023 - 10:23:55,5.0,4.0,419,482,313,367,5.84,4.9,5.45,4.95,1,1,0,1
prolog,05/08/2023 - 10:23:56,1.0,3.0,307,516,545,409,4.02,5.0,5.62,5.07,1,0,0,0
heatingup,05/08/2023 - 10:23:57,5.0,5.0,573,420,471,452,3.29,3.87,4.01,3.6,0,0,0,0
heatingup,05/08/2023 - 10:23:58,4.0,4.0,595,414,565,416,3.66,4.09,3.93,5.85,1,1,1,1
heatingup,05/08/2023 - 10:23:59,2.0,3.0,425,596,496,417,3.56,4.46,4.61,3.97,1,0,1,0
heatingup,05/08/2023 - 10:24:00,1.0,4.0,598,532,334,321,5.07,3.34,3.46,3.66,0,0,0,1
prolog,05/08/2023 - 10:30:01,2.0,3.0,383,504,533,554,3.15,4.93,5.75,4.35,1,1,1,1
prolog,05/08/2023 - 10:30:02,3.0,4.0,387,590,515,596,4.92,3.3,5.93,3.68,0,1,1,1
prolog,05/08/2023 - 10:30:03,3.0,3.0,550,551,306,467,4.31,5.75,3.9,4.8,1,1,1,0
prolog,05/08/2023 - 10:30:04,4.0,3.0,367,577,580,564,5.56,5.08,5.11,3.16,0,0,0,0
prolog,05/08/2023 - 10:31:21,1.0,4.0,337,328,424,578,5.91,5.27,4.4,5.9,0,0,0,0
prolog,05/08/2023 - 10:31:22,3.0,3.0,339,513,350,507,5.82,4.22,3.14,3.49,1,1,1,1
prolog,05/08/2023 - 10:31:23,2.0,6.0,454,551,587,555,5.96,3.46,3.26,3.86,1,0,0,1
prolog,05/08/2023 - 10:31:24,5.0,5.0,530,593,495,517,4.7,5.66,5.02,4.79,1,0,0,1
