step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/09/2023 - 09:20:51,3.0,6.0,329,538,524,462,4.85,3.53,3.39,4.41,0,1,1,1
prolog,05/09/2023 - 09:20:52,1.0,6.0,551,334,580,340,3.38,5.38,5.26,5.28,1,1,0,1
prolog,05/09/2023 - 09:20:53,2.0,4.0,507,350,489,520,4.31,5.88,3.36,3.94,1,1,1,0
prolog,05/09/2023 - 09:20:54,2.0,6.0,522,477,395,537,5.68,3.44,5.11,3.62,0,1,0,1
heatingup,05/09/2023 - 09:20:55,2.0,6.0,303,383,462,543,3.8,5.09,4.38,4.9,0,1,1,0
heatingup,05/09/2023 - 09:20:56,5.0,4.0,509,326,460,377,5.77,4.26,5.85,5.46,1,1,1,1
heatingup,05/09/2023 - 09:20:57,1.0,6.0,574,540,377,385,3.57,4.48,4.56,5.03,0,1,1,0
heatingup,05/09/2023 - 09:20:58,3.0,4.0,475,325,304,464,3.22,4.11,5.08,4.84,1,0,0,0
measuring,05/09/2023 - 09:20:59,3.0,4.0,475,524,511,571,3.54,5.44,4.88,3.66,1,0,0,1
measuring,05/09/2023 - 09:21:00,3.0,4.0,495,587,514,383,5.74,4.83,4.78,4.29,0,1,0,0
measuring,05/09/2023 - 09:21:01,4.0,3.0,309,441,469,457,4.23,5.34,3.54,4.16,1,1,0,1
measuring,05/09/2023 - 09:21:02,1.0,3.0,568,512,383,474,3.45,5.73,5.84,4.24,1,1,1,1
measuring,05/09/2023 - 09:21:03,2.0,5.0,323,571,563,346,3.18,3.81,3.17,5.63,0,1,1,0
cooldown,05/09/2023 - 09:21:04,3.0,4.0,301,427,375,379,4.08,5.43,4.04,5.29,0,0,1,0
cooldown,05/09/2023 - 09:21:05,2.0,5.0,481,391,429,531,5.71,3.22,4.52,3.92,0,0,0,0
cooldown,05/09/2023 - 09:21:06,3.0,4.0,378,395,547,374,4.85,4.53,3.58,3.9,0,1,1,1
cooldown,05/09/2023 - 09:21:08,2.0,6.0,321,358,588,387,3.54,5.5,3.98,4.4,1,1,0,0
cooldown,05/09/2023 - 09:21:09,4.0,6.0,517,497,453,595,3.5,3.99,5.9,5.22,1,1,1,1
cooldown,05/09/2023 - 09:21:10,2.0,6.0,456,489,472,466,5.56,5.61,3.74,3.17,1,1,0,0
