step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/09/2023 - 11:55:48,2.0,5.0,451,438,447,588,4.69,5.13,4.52,3.53,0,1,1,1
prolog,05/09/2023 - 11:55:49,3.0,3.0,332,347,533,529,3.62,4.4,3.38,4.34,0,1,0,1
heatingup,05/09/2023 - 11:55:50,2.0,6.0,568,498,455,485,3.5,4.63,4.94,3.42,1,1,1,0
heatingup,05/09/2023 - 11:55:51,4.0,6.0,532,403,456,574,3.22,3.94,5.82,3.2,0,1,0,1
heatingup,05/09/2023 - 11:55:52,1.0,6.0,524,386,563,463,3.19,4.82,4.95,4.05,0,1,1,1
heatingup,05/09/2023 - 11:55:53,4.0,3.0,561,321,411,384,3.68,5.44,3.87,3.44,0,1,1,0
measuring,05/09/2023 - 11:55:55,2.0,5.0,321,418,499,455,4.62,5.71,5.39,3.6,0,0,0,0
measuring,05/09/2023 - 11:55:56,2.0,3.0,364,460,376,460,5.32,4.95,5.01,3.15,0,1,0,1
measuring,05/09/2023 - 11:55:57,3.0,4.0,486,567,413,354,5.3,4.96,5.78,5.19,0,0,1,1
measuring,05/09/2023 - 11:55:58,2.0,3.0,427,324,388,425,5.81,4.2,3.8,4.57,1,1,1,1
cooldown,05/09/2023 - 11:55:59,1.0,3.0,580,449,412,565,4.31,3.5,5.0,3.69,0,1,1,0
cooldown,05/09/2023 - 11:56:00,4.0,6.0,382,348,317,333,4.21,5.2,5.21,3.74,1,1,1,0
cooldown,05/09/2023 - 11:56:01,4.0,4.0,476,409,446,548,4.66,3.87,3.07,5.61,0,1,1,1
cooldown,05/09/2023 - 11:56:02,3.0,3.0,514,421,388,423,4.25,5.91,5.05,5.06,0,0,1,1
cooldown,05/09/2023 - 11:56:03,4.0,5.0,341,427,356,310,3.06,3.58,5.49,3.44,0,0,1,0
cooldown,05/09/2023 - 11:56:04,2.0,6.0,499,497,539,464,4.73,3.88,4.15,5.07,1,1,0,0
cooldown,05/09/2023 - 11:56:05,4.0,6.0,452,447,423,498,6.0,3.82,3.58,5.52,1,0,0,1
cooldown,05/09/2023 - 11:56:06,5.0,3.0,519,427,586,588,3.99,5.73,5.74,5.34,0,0,1,1
cooldown,05/09/2023 - 11:56:07,4.0,4.0,593,386,452,522,5.82,4.75,5.95,5.95,0,0,1,1
cooldown,05/09/2023 - 11:56:08,1.0,3.0,428,489,528,460,3.13,3.85,5.43,4.08,1,1,1,1
