step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/09/2023 - 09:33:04,1.0,4.0,369,386,557,409,5.89,5.34,3.43,4.47,1,1,1,1
prolog,05/09/2023 - 09:33:05,5.0,4.0,583,503,574,424,4.77,4.82,4.34,5.9,0,1,0,1
prolog,05/09/2023 - 09:33:07,1.0,4.0,486,449,370,320,3.88,3.49,3.44,4.11,0,0,1,1
heatingup,05/09/2023 - 09:33:08,5.0,4.0,518,555,536,511,4.84,4.44,3.33,3.89,0,1,0,0
heatingup,05/09/2023 - 09:33:09,5.0,3.0,345,440,565,331,4.27,3.5,4.75,5.12,0,1,1,1
heatingup,05/09/2023 - 09:33:10,1.0,3.0,324,318,306,336,4.99,3.58,3.55,5.26,1,1,1,1
heatingup,05/09/2023 - 09:33:11,3.0,4.0,382,456,423,400,4.11,6.0,3.0,5.8,1,0,0,0
measuring,05/09/2023 - 09:33:12,1.0,4.0,544,493,444,577,4.82,3.21,5.45,4.26,1,0,0,0
measuring,05/09/2023 - 09:33:13,3.0,6.0,363,532,338,473,3.4,3.79,5.72,5.69,1,0,0,1
measuring,05/09/2023 - 09:33:14,5.0,5.0,464,468,600,482,5.07,4.99,5.87,3.65,0,0,0,0
measuring,05/09/2023 - 09:33:15,2.0,4.0,486,492,481,369,3.24,4.81,3.29,5.56,0,0,1,1
measuring,05/09/2023 - 09:33:16,3.0,6.0,570,595,430,556,4.96,5.13,3.02,3.67,0,0,0,1
cooldown,05/09/2023 - 09:33:18,1.0,3.0,415,357,326,522,5.26,5.34,3.56,3.1,0,0,0,1
cooldown,05/09/2023 - 09:33:19,3.0,3.0,423,427,338,571,3.53,3.15,3.73,5.58,0,1,0,1
cooldown,05/09/2023 - 09:33:20,4.0,4.0,353,582,326,344,3.61,5.2,5.22,5.79,1,0,1,0
cooldown,05/09/2023 - 09:33:21,1.0,3.0,385,439,575,327,3.85,4.24,4.45,3.93,0,0,0,0
cooldown,05/09/2023 - 09:33:22,5.0,6.0,496,459,572,317,4.83,4.61,5.98,3.98,0,0,1,1
cooldown,05/09/2023 - 09:33:23,4.0,5.0,471,458,494,549,4.26,3.75,3.23,4.15,0,0,0,1
