step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/09/2023 - 09:39:54,5.0,5.0,392,419,396,596,5.13,5.51,3.33,4.46,0,0,1,1
prolog,05/09/2023 - 09:39:55,4.0,3.0,311,460,486,314,3.33,5.2,4.62,3.6,0,1,1,1
prolog,05/09/2023 - 09:39:56,4.0,3.0,347,360,507,320,3.33,3.32,3.01,4.78,0,1,0,0
prolog,05/09/2023 - 09:39:57,5.0,4.0,464,319,366,483,3.99,4.28,3.15,3.22,1,1,1,1
heatingup,05/09/2023 - 09:39:59,5.0,6.0,472,459,539,345,4.77,5.32,5.88,5.67,1,1,0,1
heatingup,05/09/2023 - 09:40:00,2.0,3.0,542,600,434,323,3.65,4.97,5.52,4.5,1,1,0,0
heatingup,05/09/2023 - 09:40:01,2.0,4.0,377,597,323,488,4.24,5.84,5.6,5.46,1,0,1,1
measuring,05/09/2023 - 09:40:02,5.0,4.0,443,459,560,356,5.82,4.57,4.44,3.52,0,0,1,1
measuring,05/09/2023 - 09:40:03,2.0,3.0,383,388,569,495,3.62,5.09,6.0,5.32,1,1,0,0
measuring,05/09/2023 - 09:40:04,1.0,5.0,520,316,379,475,5.48,3.47,5.52,4.6,1,0,1,0
measuring,05/09/2023 - 09:40:05,4.0,6.0,537,595,593,310,5.98,5.38,5.7,3.83,1,1,0,0
prolog,05/09/2023 - 09:54:03,3.0,3.0,593,522,403,375,5.51,3.17,4.87,3.41,0,0,0,0
prolog,05/09/2023 - 09:54:04,2.0,5.0,492,384,528,589,5.44,4.4,4.81,4.3,0,1,1,1
prolog,05/09/2023 - 09:54:06,4.0,4.0,569,578,480,306,3.97,4.98,4.24,4.28,1,1,0,0
prolog,05/09/2023 - 10:50:32,4.0,5.0,589,399,448,381,5.05,4.06,4.34,5.88,0,1,1,0
prolog,05/09/2023 - 10:50:33,4.0,6.0,441,589,517,374,5.28,4.38,3.28,3.74,0,0,1,1
prolog,05/09/2023 - 10:50:34,2.0,5.0,444,449,371,421,4.52,3.36,4.58,3.84,0,1,0,1
prolog,05/09/2023 - 10:50:35,4.0,3.0,588,566,441,436,4.27,3.03,4.37,3.12,1,0,0,1
prolog,05/09/2023 - 11:01:00,2.0,5.0,509,500,486,395,5.82,5.62,4.39,3.95,0,0,0,1
prolog,05/09/2023 - 11:01:01,2.0,5.0,475,531,467,490,4.65,5.66,5.35,3.96,0,1,0,0
