step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/08/2023 - 10:05:39,2.0,5.0,471,524,335,441,5.77,4.8,4.87,3.28,1,0,1,1
prolog,05/08/2023 - 10:05:40,2.0,5.0,572,426,548,352,3.65,4.11,5.83,5.04,1,1,1,0
prolog,05/08/2023 - 10:05:41,3.0,5.0,428,334,468,595,3.34,4.35,4.56,3.5,0,1,0,1
prolog,05/08/2023 - 10:05:42,4.0,4.0,383,558,401,596,5.94,4.85,4.85,3.87,1,0,1,0
heatingup,05/08/2023 - 10:05:43,4.0,6.0,415,397,325,375,3.32,4.74,5.1,5.07,1,0,0,0
heatingup,05/08/2023 - 10:05:44,4.0,4.0,366,399,456,451,3.04,5.55,5.54,5.77,0,0,0,0
heatingup,05/08/2023 - 10:05:45,3.0,5.0,391,568,300,573,3.93,5.87,4.53,4.03,1,1,1,0
heatingup,05/08/2023 - 10:05:46,3.0,5.0,429,428,321,591,5.21,3.31,5.02,3.28,0,1,1,1
measuring,05/08/2023 - 10:05:47,5.0,3.0,404,453,470,357,4.2,5.64,5.38,4.46,1,0,1,0
measuring,05/08/2023 - 10:05:48,3.0,3.0,495,562,556,512,5.57,5.68,3.71,5.71,1,1,1,0
measuring,05/08/2023 - 10:05:49,1.0,5.0,483,307,316,534,5.03,4.8,5.4,3.26,0,1,1,1
measuring,05/08/2023 - 10:05:50,4.0,3.0,315,577,502,444,3.0,5.84,5.05,5.06,0,1,1,0
measuring,05/08/2023 - 10:05:51,3.0,4.0,480,480,494,503,4.1,3.76,3.16,4.12,0,1,0,1
cooldown,05/08/2023 - 10:05:52,1.0,5.0,367,554,446,325,3.39,4.0,3.52,4.22,0,1,1,0
cooldown,05/08/2023 - 10:05:53,4.0,3.0,548,348,540,565,4.97,5.32,3.55,5.73,1,0,0,1
cooldown,05/08/2023 - 10:05:54,4.0,4.0,318,580,405,396,4.39,3.17,4.58,3.67,1,0,0,1
cooldown,05/08/2023 - 10:05:55,1.0,3.0,344,452,346,346,4.75,4.32,3.46,4.43,0,1,0,1
cooldown,05/08/2023 - 10:05:56,2.0,4.0,387,354,472,432,4.71,3.08,4.31,3.64,1,0,1,0
cooldown,05/08/2023 - 10:05:57,4.0,3.0,323,392,304,585,3.33,5.32,3.28,3.27,0,1,0,1
