step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/04/2023 - 14:46:21,2.0,6.0,471,399,326,557,3.29,3.96,5.08,4.21,0,1,1,0
prolog,05/04/2023 - 14:46:22,1.0,5.0,342,465,307,416,3.94,6.0,4.07,4.26,1,1,0,1
prolog,05/04/2023 - 14:46:23,5.0,5.0,429,547,446,346,3.43,4.69,4.39,3.5,0,1,1,0
prolog,05/04/2023 - 14:46:24,3.0,4.0,370,464,412,424,4.18,5.83,5.39,4.14,0,1,0,0
heatingup,05/04/2023 - 14:46:26,4.0,6.0,440,473,359,510,5.51,5.48,4.08,5.75,0,0,1,1
heatingup,05/04/2023 - 14:46:27,1.0,5.0,553,469,529,550,3.51,5.05,4.38,4.45,1,1,1,0
heatingup,05/04/2023 - 14:46:28,2.0,5.0,431,476,552,433,3.31,5.0,4.84,5.39,1,0,0,0
measuring,05/04/2023 - 14:46:29,2.0,4.0,419,580,361,362,3.87,3.24,3.94,4.35,0,0,1,0
measuring,05/04/2023 - 14:46:30,1.0,5.0,493,593,413,472,4.97,3.61,5.0,5.31,1,0,1,0
measuring,05/04/2023 - 14:46:31,4.0,3.0,527,352,329,559,3.51,5.02,3.53,3.43,1,1,0,1
measuring,05/04/2023 - 14:46:32,2.0,4.0,432,575,336,564,4.52,3.35,3.19,5.88,1,0,0,0
measuring,05/04/2023 - 14:46:33,4.0,3.0,512,508,445,441,3.89,3.0,4.13,5.78,0,1,0,1
cooldown,05/04/2023 - 14:46:34,4.0,3.0,377,428,303,552,5.87,5.27,5.48,5.94,0,0,0,1
cooldown,05/04/2023 - 14:46:35,2.0,3.0,310,407,579,525,3.44,5.83,4.18,5.02,1,1,1,0
cooldown,05/04/2023 - 14:46:36,4.0,3.0,583,482,438,574,5.17,3.05,4.28,3.99,1,1,0,0
cooldown,05/04/2023 - 14:46:37,4.0,4.0,356,388,515,424,3.48,4.83,4.4,5.94,1,1,1,0
cooldown,05/04/2023 - 14:46:38,4.0,5.0,361,579,302,510,3.86,3.91,3.77,5.27,0,0,0,0
cooldown,05/04/2023 - 14:46:39,4.0,5.0,479,520,371,519,4.43,4.73,4.47,5.14,1,1,0,0
cooldown,05/04/2023 - 14:46:40,5.0,4.0,567,327,592,464,4.33,3.24,4.41,3.62,1,1,0,1
